ministry_code,tasnif_code,english_description,dari_description,pashto_description
139,"390,323",National Livestock and Animal Health Development Program,برنامه ملی انکشاف مالداری و صحت حیوانی,د مالدارۍ د پراختیا او د څارویو د روغتیا ملي پروګرام
,"390,356",National Horticulture and Livestock Program,برنامه ملی باغداری و مالداری ,د باغدارۍ  او مالدارۍ ملي پروژه 
,"390,781",Creation and repair of cold storages,ایجاد و ترمیم سردخانه ها,د سړو خونو ترمیم او جورول
,"390,782","Poultry, fish and economic insect industry growth and development project",پروژه رشد و انکشاف صنعت طیور، ماهی و  حشرات اقتصادی,د مرغانو، کبانو او اقتصادی حشراتو د ودی او پراختیا پروژی
,"390,783",Construction and reconstruction of irrigation buildings,اعمار و بازسازی ساختمان های آبیاری,د ابولگولو ساختمانونو رغول او جورونه
,"390,784",Repair and purchase of agricultural machinery equipment,ترمیم و خریداری تجهیزات ماشین آلات زراعتی,د کرنیزو ماشین آلاتو ترمیم او تجهیزاتو اخیستل
,"390,395",Agriculture Development in border district,انکشاف زراعت در ولسوالی های سرحدی,
,"390,240","construction and equipping agricultures’ offices in center, provinces &district",ساختمان وجهیز دفتر ترویج در ولایات وولسوالی ها,
,"390,244","construction and equipping agricultures’ offices in center, provinces &district",ستختمان وتجهیز دفتر ترویج در ولایات وولسوالی ها,
,"390,742",Kabul Green Belt,کمر بند سبز کابل,
,"390,654",Natural Resource Management National Program,برنامه ملی تنظیم منابع زبیعی به اشتراک جامعه,
,"390,766","Construction of Household Qoria's in Paktia, Paktika and Khost Provinces",احداث قوریه جات خانگی در ولایت پکتیکا وخوست,
,"390,770",Sustainable range Land managment plan on cumulative approach,طرح تنظیم علفچرها به اشتراک جوامع محلی,
,"390,787",Community Based Rangeland Management, تنظیم  همه جنابه علفچرها به مشارکت جامعه,
,"390,786",Natural Forests Conservation and  Restoration of pistachio and walnuts,احیا وحفاظت جنگلات طبعیی پسته وچهار مغز,
,"390,785",Community Based Wild Medicinal Plants Management,تنظیم نباتات  طبی وحشی به اشتراک جامعه,
,"390,676",Irrigation and water reservoir project,پروژه ابیاری وذخایر اب,
,"390,763",Feasibility Study Of Strategic Project,مطالعات امکان سنجی پروژه های استراتیژیک,
,"390,780",Farm water efficiency program,برنامه موثریت اب در مزرعه,
,"390,789",Construction of Drainage Networks and Agricultural Lands and Improvement,اعمارشبکه های زهکشی واصلاح زمین های زراعتی,
,"390,604",Developing of Zafaran and cotton cultivation,توسعه کشت پخته وزعفران,
,"390,790",provision and purchase of seeds and chemical fertilizers,تهیه وخریداری تخم های بذری وکودهای کمیاوی,
,"390,767",Nomad's Development project( Agriculture),پروژه انکشافی امورکوچی هامربوط وزارت زراعت,
,"390,792",Establishment and equiping of lequid Nitrogen plant in Balkh province ,اعمارساختمان وتجهیزدستگاه تولید نایتروجن مایع ولایت بلخ,
,"390,793",Feasibility study and establishment of standard Dairy cattle farms at the 7 zones,مطالعه امکان سنجی وایجاد۷باب فارمهای معیاری گاوهای شیری درهفت زون,
,"390,331","Construction, Development & Surveillance of Research, Extension & Productions' farms",احیاه توسعه و مراقبت فارمهای تحقیقاتی ترویجی وتولیدی,
,"390,788",Soil Information System of Afghanistan (SISAF),مطالعه سیستم معلوماتی خاک های افغانستان,
,"390,791","Alternative Livelihood Packages for Poppy Cultivation, Extension of Ferula /Hing, and vegetables Production under Greenhouse technology",بسته های جاگزین کشت کوکنار ترویج نبات هنگ واحداث سبز خانه ها,
,"390,774",Afghanistan Agricultural Products Management,مدیریت محصولات زراعتی افغانستان,
,"390,749",Construction of Cooperative Cold storages,اعمار کمپلکس سردخانه های عصری,
,"390,741",Kitchen Garden,ایجاد باغچه های خانگی ومصونیت غذایی,
,"390,357",Integrated plant Pest and animal Disease Management,مبارزه علیه آفات وامراض نباتی,
,"390,624",Construction of Strategic wheat Reserve,احیاه واعمار زخایر استراتیژیک گندم,
,"390,244",provision and distribution of Improved Seeds and fertilizer,ساختمان وتجهیز دفتر ترویج در ولایات وولسوالی ها,
,"390,505","Establishing Management Information System, Information Technology & Agricultural Statistics",پیشبینی وضیعت زراعت هواشناسی زراعتی تقویت سیستم تکنالوژی های معلوماتی واحصائیه زراعتی,
,"390,755",Prov Development Projects,پروژه های انکشافی ولایتی,
140,"400,004",Mechanical and professional education,تعليمات ميخانيکی و مسلکی,میخانیکی او مسلکی زده کری 
,"400,014",Salaries of professors and employees studying abroad,معاشات اساتید وکارمندان مصروف  تحصیل در خارج از کشور, د هېواد څخه بهر په زده کړو بوخت استادانو او کارکوونکو معاشات
,"400,002",Technical & Vocational Learning,آموزش فنی وحرفه ای,
,"400,005",Construction of national technical institute,ساخت انستیتوت فنی ملی,
141,"410,066",Kamal Khan Irrigation Project and Lashkari Flood Control,پروژه آبياري کمال خان وکنترول سيلاب لشکري,د کمال خان اوبو لګونې او د لښکري سیلاب د کنټرول پروژه
,"410,133","Design , Construction , Power Generation and Irrigation Of Bakhshabab Farha Province",تونل ابګردان بحش اباد ولایت فراه,تونل ابګردان بحش اباد ولایت فراه
,"410,285",Supervision and construction of Shah and Arous irrigation and power dam in Shekardara district (irrigation capacity of 1500 hectares and electricity production of 1.2 megawatts),نظارت و ساختمان بند برق و آبیاری شاه و عروس ولسوالی شکردره (ظرفیت آبیاری 1500 هکتار و تولید برق 1.2 میگاوات),د شکر درې ولسوالۍ د شاه او عروس د بریښنا او اوبو لګولو بند څارنه او رغونه (د ابو لګونې ظرفیت ۱۵۰۰ هکتار او د برق تولیت ۱.۲ میګاواټ)
,"410,400","Design and construction of Pashdan irrigation and power generation dam, Herat province",دیزاین و ساختمان بند آبیاری و تولید برق پاشدان ولایت هرات,د هرات ولایت دپاشدان د اوبو لګونې بند ډیزاین او ساختمان
,"410,412","Regulation, implementation and maintenance of irrigation dams and electricity generation, transmission and distribution projects",تنظیم، تطبیق و مراقبت بندهای آبیاری وپروژه های تولید انتقال و توزیع برق,د اوبو لګولو د بندونو او برېښنا د وېش او لېږد د پروژو تنظیم، پلي کول او څارنه
,"410,782",Check Dams Project in 34 provinces,,دچیکدیمونه جورولو پروژه په ولایاتو کی
,"410,794",The project to regulate the maintenance and care of dams in the center and provinces,پروژه تنظیم حفظ و مراقبت بند ها در مرکز و ولایات ,په مرکز او ولایاتو کې د بندونو د ساتنې او پاملرنې د تنظیم پروژه
,"410,795",Fortifications of the shores of the Amu Sea,تحکیمات سواحل دریا آمو,د آمو سیند د سواحلو تحکیمات
,"410,796",Extension of the power grid of Nuristan province,تمدید شبکه برق ولایت نورستان,د نورستان ولایت د برق تمدید شبکه
,"410,797",Provision Of Electricity To Dand Ghori And Kharotai Mosque Villages Of Baghlan Province,,د بغلان ولایت دنډه غوری او خروتی مسجد کلیو دبریښنا تامینولو پروژه
,"410,798",Provision of Electronic Equipments For the Developments of Electricity Network in paktia Province,,دپکتیا ولایت بریښنا شبکی د پراختیا په موخه دبریښنایی وسایلو چمتو کول او تدارک
,"410,799",Construction Of Shahe Canal In laghman Province,بازسازی کانال شاهی ولایت لغمان,د لغمان ولایت شاهي کانال جوړونه 
,"410,800",Construction Of Paktia River Basin Building.,اعمار ساختمان در حوضه ای دریایی ولایت پکتیا,د پکتیا ولایت سیندیزې حوزې د ودانۍ رغونه 
,"410,801",Construction Of Sultan Ibrahim Dam from the revenue of Qashkeri mines,ساخت بند سلطان ابراهیم از معدن نفت قشقری,د سلطان ابراهیم بند جوړونه د قشقري کان له عوایدو څخه 
,"410,802",Power supply to Qosh Tepa and Darzad Districts of Jawzjan province from the imported power of Turkmanistan (TAP),تامین برق ولسوالی های قوش تپی و درزاب ولایت جوزجان از برق وارداتی ترکمنستان,د ترکمنستان هیواد وارداتي برېښنا څخه د جوزجان ولایت قوش تیپی او درزاب ولسوالیو ته برېښنا رسونې پروژه 
,"410,803",Construction of Haghan Jan Dam in Chenar to District of Uruzgan,اعمار بند آغا جان در ولسوالی چینارتو ولایت ارزگان,د اروزګان وزارت د چینارتو ولسوالۍ د اغا جان بند جوړونه 
142,"420,106","National Rural Roads Program - NRAP (road construction from Farkhar district to Warsaj from 0+000 km to 15+000 km with asphalt carpet in Takhar Province, Northeast Zone)",برنامه ملي سرک های روستايی - NRAP  (اعمار و ساختمان سرک از ولسوالی فرخار الی ورسج از کیلومتر 0+000 ال 15+000 کیلومتر با فرش اسفالت ولایت تخار، زون شمال شرق),د کلیو د سړکونو د پراختیا ملي برنامه - NRAP  د شمال زون د تخار ولایت د فرخار څخه تر ورسج ولسوالی له  0+000 تر 15+000 کیلومتر پورې سفالټ سړک جوړونه
,"420,335","Kabul-Logar Second Line Road Building (from Mohammad Agha District to Alam Bridge, Logar Province) second layer",ساختمان سرک لین دوم کابل – لوگر (از ولسوالی محمدآغه الی پل علم ولایت لوگر) لات دوم,د کابل ـ لوګر دویم لین سړک ( د مرکز پل علم څخه تر د محمد آغې ولسوالۍ پورې) دوهم لاټ
,"420,320",POPWs Workforce Development Unit,واحد انکشاف برنامه قوه کار وزارت فواید عامه,
,"420,568",Maintenance and care of roads,حفظ و مراقبت سرک ها,د سرکونو ساتنه او پاملرنه
,"420,569",Preservation and care of Salangs ,حفظ و مراقبت سالنگها,د سالنګونو ساتنه او پاملرنه
,"420,573",Construction of Kunar to Nuristan Road (20KM),اعمار سرک نورستان کنر به طول (115) کیلومتر,
,"420,620",Asphalting of the road in Goshtepeh and Darzab districts of Jawzjan province with a length of (47) kilometers,اسفالت سرک ولسوالی قوشتپه ودرزاب ولایت جوزجان به طول 47 کیلومتر,د جوزجان ولایت د قوشتپې او درزاب ولسوالیو  د (۴۷) کیلومتره په اوږدوالي سړک قیر کول
,"420,621","Reconstruction of the Gardiz-Zermatt road (from Khatavah area to the repair of the bazaar, 22 kilometers long)",پروزه ترمیم سرک گردیز زرمت از ساحه ختاوه الا تعمیر بازار  بطول 22 کیلومتر,د ګردیز- زرمت سړک بیارغونه ( له خټاوې څخه تر تعمیر بازار پورې ۲۲ کیلو متره سړک)
,"420,622",Salangs Reconstruction And Renovation Project By Toll Plaza,پروژه ترمیم وبازسازی سالنگ ها توسط تولپلازا,
,"420,623","The High Tonnage Scales’ construction, solar installation, repairs, operating and maintenance project",پیشبرد امور ساختمانی، نصب سولر و ترازو، دیجیتل سازی، ترمیمات، حفظ و مراقبت ترازوهای بلند تناژ ,د ساختماني کارونو پرمخ وړل، د سولر او ترازوگانو نصبول، ډیجیټل سازۍ، ترمیم او د لوړ تناژ تلو ساتنه او پانلرنه
,"420,624",Kabul - Jalalabad 2nd lane Road (Latah Band) construction by Toll Plaza,اعمار سرک لین دوم کابل-جلال آباد (لته بند) توسط تولپلازا,د ټولپلازې په واسطه د کابل - جلال آباد دویم لین (لته بند) سړک جوړول
,"420,625",Dasht Archi-Kundz 20 km remaining public road asphalt project,اسفالت کار باقیمانده سرک عمومی دشت ارچی - کندز به طول 20 کیلومتر,د دشت ارچي - کندز د شل 20 کیلومټرو په اوږدوالي عامه سړک د اسفالټ پاتې کار
,"420,626",Countrywide mosques’ construction project along the public highways by MoPW,اعمار مساجد در مسیر شاهراه های عمومی کشور مربوط وزارت فواید عامه,د ټولګټو وزارت اړوند د هېواد د لویو لارو په اوږدو کې د جوماتونو جوړول
,"420,627","Installing Traffic Signs, Signals, Guardrails and street lines painting project by MoPW",نصب علایم و اشارات ترافیکی، خط اندازی و نصب گاردریل ها مربوط وزارت فواید عامه ,د ټولګټو وزارت اړوند د ترافیکي نښو او اشارو نصبول، د سړکونو خط اچول او د ګارد ریلونو نصبول
,"420,628",The construction of a half-finished bridge in Geezab district’s Uruzgan province,پیشبرد امور باقیمانده پروژه نیمه کاره گیزاب ولایت ارزگان,د ارزګان د ګیزاب ولسوالۍ د نیمه بشپړې شوې پروژې د پاتې چارو پرمخ بیول
,"420,629",Asphalt and Reconstruction of Daikundi – Kandahar road,اعمار و بازسازی سرک دایکندی - کندهار ,د دايکندي – کندهار سړک جوړول او بيارغول
,"420,630",Organization’s Technical support and NTA employees’ salary payment,حمایت تخنیکی اداره و پرداخت معاشات کارمندان حمایوی تخنیکی,د ادارې تخنیکي ملاتړ او د داخلي مرستندویه تخنیکي کارکوونکو معاشاتو ورکړه
,"420,631",Technical Studies and Consultancy Services,مطالعات تخنیکی و خدمات مشورتی ,تخنیکي مطالعات او مشورتي خدمتونه
,"420,632",Khawaaf - Herat railway 4th lot constriction,ساختمان خط آهن قطعه چهارم خواف - هرات,د خواف – هرات د څلورمې برخې د اوسپنې پټلۍجوړښت
,"420,633","Railways Administration, Utilization Equipment and Machinary Purchase Project",پیشبرد امور، خریداری تجهیزات و ماشین آلات بهره برداری خطوط آهن,د اوسپنې پټلیو د ګټې اخیستنې لپاره د تجهیزاتو او ماشین آلاتو پيرل، او دچارو پرمخ بیول
,"420,634","Railways&#39; Operation and Maintenance, Repair, O&M Equipment and Machinary Purchase Project",خریداری تجهیزات و ماشین آلات، ترمیمات و حفظ و مراقبت خطوط آهن,د اوسپنې پټلیو ترمیمات، ساتنه او پاملرنه او د تجهیزاتو او ماشين آلاتو پیرل
,"420,635",Hayrataan - Mazaar-e-Sharif Railway&#39;s Utilization and O&M,بهره برداری و حفظ و مراقبت خط آهن حیرتان - مزارشریف,د حيرتان - مزارشریف داوسپنې پټلۍ څخه ګټه اخیستنه، ساتنه او پاملرنه
,"420,636",Railway&#39;s Technical Institute and Technical Skill building Project,تدویر برنامه های آموزشی و ایجاد انستیتوت مسلکی خط آهن , د اوسپنې پټلۍ لپاره زده کړيزو برنامو دایرول او مسلکي انسټيټیوټ رامنځ ته کول
,"420,637",Kandahar - Speen Boldak 96km Railway detailed design and construction Project, دیزاین تفصیلی و ساختمان 96 کیلومتر خط آهن کندهار – سپین بولدک , د کندهار - سپین بولډک د 96 کیلومټرو په اوږدوالي د اوسپنې پټلۍ تفصیلي ډیزاین او جوړول
,"420,638",Andkhoy - Shabarghan 67km railway’s detailed design and construction project,دیزاین تفصیلی و ساختمان خط آهن اندخوی - شبرغان (67) به طول کیلومتر , د 67 کیلومترو په اوږدوالي د اندخوی – شبرغان د اوسپنې پټلۍ تفصیلي ډیزاین او جوړول
,"420,639",Khawaf - Herat railway 4th lot constriction (2nd phase &nbsp;47km),ساختمان خط آهن قطعه چهارم خواف - هرات (فاز دوم - به طول 47 کیلومتر),د اوسپنې پټلۍ جوړول، د خواف – هرات څلورمه برخه (دویم فاز – 47 کیلومتره اوږدوالی)
,"420,640",Shahr-e-Safa to Maanje's main road repair project - Kabul -Kandahar highway -5th lot (against Logar Province's 2nd District Chromite mine's revenues,پروژه ترمیم اساسی سرک از شهر صفا الا مانجه در مسیر شاهراه کابل کندهار لات پنجم در مقابل عواید معدن کروم ولایت لوگر واقع حصه دوم,
,"420,641",Asmar-Ghazi Abad-Naari road constrution project in kunar province,پروژه اعمار سرک ولسوالی اسمار غازی آباد ناری ولایت کنر,
,"420,642",Kabul - Ghazni Road (2an Lane) Construction Project By Toll ,پروژه اعمار سرک لین دوم کابل غزنی توسط تولپلازا,
143,"430,447",Regional integration program,برنامه انسجام ساحوی,د ساحوي پراختیا ملي پروګرام (NABDP)
,"430,485",The large water supply network of Qala e Naw city and the water dam of Badghis province,شبکه بزرگ آبرسانی شهر قلعه نو و بند آب ولایت بادغیس,د بادغیس ولایت د شهر  قلعه نو بند او اوبو رسونې شبکه جوړول
,"430,494","Completion of the remaining work of silk road Wakhan District , Badakhshan province.",تکمیل کار باقیمانده سرک راه ابریشم در ولسوالی واخان ولایت بدحشان,د وریښمو د لاری د باقیمانده سړک د کارونو تکمیلیدل د بدخشان ولایت په واخان ولسوالی کی
,"430,495",Construction of Check dams,ساخت چکدمها ,د چکدم جوړول
,"430,496",Spin Buldak-Retaining wall construction in Kandahar Province, اعمار دیوار استنادی در ولسوالی  سپین بولدک ولایت کندهار,ّپه سپین بولدک ولسوالی کی د استنادی دیوال جوړول 
,"430,497",Construction of Kaj Samad (Kaj Star) Dam in Farah province.,اعمار بند کج صمد ( کج استار)  ولایت فراه ,دفراه ولایت د بند کج صمد (کج ستار) ودانی جوړول
144,"440,034","Rehabilitation of Regional Airports (Faizabad, Cheghcheran, Maimana and Qala-e-Now",احیای میدان هوایی منطقوی فیض اباد چغچران میمنه وقلعه نو,
,"440,226","Construction of terminal, fire services, road 980 meters from the ramp to parking lot, runway and pools on both sides of the Nimroz airport ACAA.",اعمار ترمینل تعمیر اطفایه سرک از رمپ الی پارکینگ 980 متر حوض های جانب در دو طرف رنوی میدان هوایی ولایت نیمروز وفراه,
,"440,225",Construction of the new runway for Uruzgan Airport,احداث خط جدید رنوی ولایت ارزگان,
,"440,008",extention and maintenance of kabul air port,توسعه حفظ ومراقبت میدان هوایی,
,"440,164",Rehablitation and Extension Terminal of Kandahar Airports,باز سازی توسعه ونوسازی ترمینل میدان هوایی کندهار,
,"440,215","Wall, design and construction of new Airport behind Ghazi Amanullah Khan Mina Nangarhar province",دیزاین واعمار میدان هوایی جدید ولایت ننگرهار دردشت دربگی ولسوالی رودات,
,"440,224",Surrounded Wall of Mazar-e-Sharif Airport,احاطه میدان هوایی مزار شریف,
,"440,212",Operation and Maintainance of Salttelites(VSAT) for Airspace Control,حفظ مراقبت ستلایت VSAT جهت کنترول فضا,
,"440,174","Airports Security (Kabul, Herat, Mazar Sharif, and Kandahar)",تامین امنیت وحفظ ومراقبت میادین هوایی کابل هرات کندهار ومزارشریف,
,"440,209","Operating and maintenance of 35 MLAT stations, equipment to control airspace, flight check, aircraft guidance devices, and purchase of technical equipment",حفظ ومراقبت 35 استیشن دستگاه های MLAT جهت کنترول فضای افغانستان وفلایت چک دشتگاه های رهنمایی طیارات خریداری تجهیزات تخنیکی,
,"440,162","Construction of runway, terminal, parking, fire stations and other equipment of Khost Airport",اعمار رنوی ترمینل پارکینگ استیشن اطفایه وملحقات میدان هوایی ولایات خوست پکتیا وتخار,
,"440,222","Study, design and construction of the International Airport in Logar province",مطالعه دیزاین تخنیکی واعمار میدان هوایی بین المللیدر ولایت لوگر,
145,"450,190",computerization of Entrance doors in  provinces,کمپیوترایز ساختن دروازه های عبوری,
,"450,222","Ensuring the security and maintenance of airfields (Kabul, Herat, Kandahar and Mazar-e-Sharif)","تامین امنیت و حفظ ومراقبت میدان هوایی( کابل ,هرات,کندهار,ومزارشریف",د کابل، هرات، کندهار او مزارشریف د هوایی ډګر د ساتنې او څارنې او د امنیت نیولو پروژه
,"450,223",Construction of administrative  Building  project of Road Transport Regulation Directorate of Logar province,پروزه اعمار تعمیر اداری ریاست تنظیم ترانسپورت جاده ای ولایت کابل,د لوګر ولایت - د ځمکني ټرانسپورټ ریاست لپاره اداري ودانۍ جوړول
,"450,224",Balkh province Administrative Building Construction For Road Transport Directorate,پروژه اعمار تعمیر اداری ریاست تنظیم ترانسپورت جاده ای ولایت بلخ ,د بلخ ولایت - د ځمکني ټرانسپورټ ریاست لپاره اداري ودانۍ جوړول 
,"450,225",Construction of administrative  Building  project of Road Transport Regulation Directorate of Paktia province,پروژه اعمار تعمیر اداری ریاست تنظیم ترانسپورت جاده ای ولایت پکتیا ,د پکتیا ولایت - د ځمکني ټرانسپورټ ریاست لپاره اداري ودانۍ جوړول
,"450,226",Construction of administrative  Building  project of Road Transport Regulation Directorate of Nimroz province,پروژه اعمار تعمیر اداری ریاست تنظیم ترانسپورت جاده ای ولایت نیمروز,
,"450,227",Construction of administrative  Building  project of Road Transport Regulation Directorate of Nangarhar province,پروژه اعمار تعمیر اداری ریاست تنظیم ترانسپورت جاده ای ولایت ننگرهار ,"د ننگرهار ولایت - د ځمکني ټرانسپورټ ریاست لپاره اداري ودانۍ جوړول
"
,"450,228",24-hour solar power supply system project for road transportation (23) ports of the country,پروژه  سیستم برق رسانی 24 ساعته سولری برای کانکس ها  ترانسپورت جاده ای  (23) بنادر کشور,"د هېواد په (۲۳) بندرونو کې د ځمکني ټرانسپورټ کانکسونو لپاره د ۲۴ ساعته لمریز برېښنا رسولو سیستم پروژه
"
,"450,230",50 shop stall constiction project at freight terminal of Gozrah district in Herat province ,پروژه اعمار (50) باب دوکاکین برای ترمینل باربری ولسوالی گذره ولایت هرات,د هرات ولایت د ګذره ولسوالی د باربری هډی د (50) دوکانونو  جوړولو  پروژه 
,"450,231",MoTA&#39;s National Technical Assistance Employees&#39; Salary Payments,پرداخت معاشات کارمندان حمایوی تخنیکی ملی وزارت ترانسپورت و هوانوردی,د ټرانسپورټ او هوايي چلند وزارت ته د ملي مرستندویه او تخنیکي خدمتونه وړاندې کول
,"450,232",Kabul International Airport Terminal’s repair & expansion project, اعمار توسعه تعمیر ترمینل میدان هوایی بین المللی کابل ,د کندهار د هوايي ډګر د ځغاستې او پارکینګ ترمیم
,"450,233",Haritaan’s cargo terminal 6200m surrounding wall construction project – Balkh province, اعمار دیوار احاطه به طول (6200 متر) ترمینل باربری واقع حیرتان ولایت بلخ ,د بامیانو د اوسني هوايي ډګر د ځغاستې لیکې اساسي ترمیم 
,"450,234",Torkham port terminal’s retaining walls construction project - Nangarhar province,اعمار دیوار احاطه و دیوار استنادی برای ترمینل بندر تورخم ولایت ننگرهار, د بلخ ولایت په حیراتانوکې د ۶۲۰۰ مترو په اوږدوالي د باروړونکو موټرو ترمینل د احاطې جوړول
,"450,235",The 2248m surrounding wall construction project of Truck stops at Pushtah – Parwan province, اعمار دیوار احاطه به طول (2247 متر) تیرپارک پشته ولایت پروان ,د پروان ولایت د تیر پارک پشتې د (۲۲۴۷) مترو په اوږدوالي د احاطې دیوال جوړول
,"450,236",Waradak Province’s Truck stops 868m surrounding wall construction project, اعمار دیوار احاطه به طول ( 868 متر) تیرپارک ولایت میدان وردک ,د میدان وردګو ولایت د تیر پارک د ۸۶۸ متره په اوږدوالي د احاطې دیوال جوړول
,"450,237",Kandahar Airport’s runway and parking renovation project,ترمیم خط رنوی و پارکینگ میدان هوایی ولایت کندهار,د ننګرهار ولایت د تورخم بندر ټرمینل لپاره د احاطې او استنادي دیوالونو جوړول
,"450,238",Ahmad Shah Baba International Airport Juliet Ramp’s Construction project – Kandahar province, اعمار (رمپ جولیت) میدان هوایی بین المللی احمد شاه بابا ولایت کندهار ,د هلمند ولایت د بست هوایي ډګر د احاطې دیوال (فنس) او د ریمپ او ځغاستې لیکې ترمیم 
,"450,239",Bamyan Airport’s existing runway renovation project,ترمیم اساسی خط رنوی میدان هوایی موجوده بامیان,د کابل نړیوال هوايي ډګر د ټرمینل ودانۍ اعمار او پراختیا 
,"450,240","Bust Airport’s fence wall construction, runway and ramp repair project – Helmand province",دیوار احاطه (فنس) و ترمیم رمپ و خط رنوی میدان هوایی بُست ولایت هلمند ,د کندهار ولایت کې د احمدشاه بابا نړیوال هوايي ډګر د رغولو
,"450,241",Countrywide Construction of Transportation Terminals,اعمار ترمینل های ترانسپورت زمینی به سطح کشور,په ټول هیواد کې د ځمکني ټرانسپورټ ترمینلونو جوړول
,"450,189",4 Terminals Construction for Cargo and passenger Transporation at the Cities Entry and Exit Points,احداث 4 ترمینال تراتسپورت باربری مسافربری  در نقاط دخولی وخروجی شهر ها وتطبیق طرح ترانسپورت عامه,
146,"460,048",Construction of Khushal Khan Baba High School Educational Complex,اعمار کمپلیکس تعلیمی لیسه خوشحال خان, د خوشحال خان بابا د لیسې د تعلیمې کمپلیکس  جوړول
,"460,052",Borders & Tribal Management Information,سیستیم مدیریت اطلاعات سرحدات وقبایل,
,"460,053",MoBTA Reform project,ریفورم وزارت امور سرحدات,
147,"470,041",Skills development program,برنامه انکشاف مهارتها,د مهارتونو د پراختیا پروګرام 
149,"490,485", Public and government buildings program,برنامه ساختمان های عامه و دولتی,د دولتي او عامه ودانیو د جوړولو پروګرام
,"490,525",Maidan Shahr city terminal,ترمینل شهری میدان شهر,د میدان ښار ښاري ترمینل
,"490,526",Finallinzing constructions of the &nbsp;three additional blocks of Directorate of Supervision and Follow-up of Orders and Decrees in DarulAman,کار باقیمانده سه بلاک الحاقیه اداره لوی ریاست نظارت و تعقیب احکام و فرامین واقع دارالامان,په دارالامان کې د حکمونو او فرمانونو د څارنې او تعقیب ریاست د دریو اضافي بلاکونو پاتې کارکونکي
150,"500,155",Draft rules project,پروژه طرح قوانین,دقانون طرحې پروژه
,"500,159",Construction of a decentralized sewage treatment system,ساخت سیستم غیر متمرکز تصفیه فاضلاب ,ساخت سیستم غیر متمرکز تصفیه فاضلاب
,"500,158",Revenue increase plan and management  project,پروژه طرح مدیرت وافزایش عواید,دعوایدود زیاتوالی طرحی اومدیریت پروژه
151,"510,026",Strengthening the financial and procurement system,تقویت سیستم مالی و تدارکاتی,د مالي او تدارکاتي سیسټم پیاوړتیا
158,"580,050",Accreditation of the central laboratory,اعتباردهی لابراتوار مرکزی,د مرکزي لابراتوار اعتباري کوول
,"580,060",Mobile Laboratry of petroleum materials in three sites in the center and north and west zones,لابراتوار سیار مواد نفتی در سه سیت مرکز وزون های شمال غرب,
,"580,061",Provision of temperature laboratories and verfication of long tonnage scale (metrology),تدارک لابراتوار های درجه حرارت وعیار سازی وتصدیق ترازو ها بلند تناژمترولوژی,
160,"600,006",Construction of  administrative building in center and provinces of the Department of Environment with its surroundings,اعمار تعمیر اداری مرکز و ولایات ریاست محیط زیست با احاطه آن,د چاپیریال ساتني ادارې ولایتي او مرکزی ریاستونو ودانۍ جوړول
161,"610,020",Tools and writing of encyclopedia,ابزار و نگارش دایرت المعارف,
163,"630,049",Hiring of technical and professional employees,استخدام کارمندان تخنیکی و مسلکی,د مسلکی او تخنیکی کارکونکو استخدام 
164,"640,003",Construction and reconstruction of national security repairs in Kabul and provinces,اعمار و باز سازی تعمیرات امنیت ملی در کابل و ولایات,د ملي امنیت د تعمیرونو جوړول په کابل او ولایاتو کې 
173,"730,020",Implementation of statistical surveys,اجرای سروی های احصائیوی,اجرای سروی های احصائیوی
,"730,021",Distribution of electronic identification cards,توزیع تذکره الکترونیکی,د برېښنايي پېژندپاڼو د وېش پروژه
,"730,008",Construction of Central Static Offices in Center and Provinces,اعمار تعمیر اداره مرکزی احصایه در مرکز وولایات,
,"730,023",The project of creating and equipping easy service centers,پروژه ایجاد و تجهیز مراکز آسان خدمت,د آسان خدمت د مرکزونو د تجهیز او رامنځته کولو پروژه
,"730,024",  Activation of electronic Tazkira  distribution zones abroad, فعال سازی زون های توزیع تذکره الکترونیکی در خارج از کشور,له هېواده بهر د برښنایې پیژند پاڼو د ویش زونونو د فعالولو پروژه
176,"760,004",Construction of Administrative Building in Provinces,اعمار تعمیر اداری در ولایات,
,"760,015",Policy and Capacity Development Program,برنامه ارتقاع ظرفیت وپالیسی سازی,
,"760,016",Construction of Main Office Building for Directorate General Kuchies,اعمار تعمیر مرکزی ریاست عمومی کوچی ها,
177,"770,001",The development project of technical support for the office of the high authority of Amir ul-Momenin,پروژه انکشافي حمایت تخنیکي برای دفتر مقام عالی امیرالمؤمنین,د امیر المؤمنین د عالي مقام د دفتر  تخنیکي ملاتړ لپاره پرمختیایي پروژه
179,"790,007","Design, lightening, development and construction of urban roads",دیزاین، تنویر وساختمان سرکهای شهری,د ښاري سړکونو دیزاین، روښانه کول او جوړول
,"790,104",The Remaining fund of Bread for Kabul Municipality,صندوق باقیمانده نان برای شهرداری کابل,
182,"820,001",Supply of Drinking water for Farah Province,پروژه آبرسانی ولایت فراه,
,"820,003",Water Distribution Network Of Andkhoy and maymana city,تامین آب اشامیدنی وشهر میمنه (شبکه برسانی),
